Geography,mean_income
Massachusetts,101858
ZCTA5 01001,74096
ZCTA5 01002,80304
ZCTA5 01003,N
ZCTA5 01005,95958
ZCTA5 01007,104812
ZCTA5 01008,78022
ZCTA5 01009,63485
ZCTA5 01010,97098
ZCTA5 01011,81255
ZCTA5 01012,84295
ZCTA5 01013,51896
ZCTA5 01020,70312
ZCTA5 01022,52876
ZCTA5 01026,63905
ZCTA5 01027,76759
ZCTA5 01028,100964
ZCTA5 01029,71700
ZCTA5 01030,86111
ZCTA5 01031,59757
ZCTA5 01032,82706
ZCTA5 01033,102005
ZCTA5 01034,94806
ZCTA5 01035,92788
ZCTA5 01036,102875
ZCTA5 01037,98300
ZCTA5 01038,85687
ZCTA5 01039,104104
ZCTA5 01040,56014
ZCTA5 01050,76940
ZCTA5 01053,83369
ZCTA5 01054,116108
ZCTA5 01056,85309
ZCTA5 01057,88287
ZCTA5 01060,84681
ZCTA5 01062,94257
ZCTA5 01063,-
ZCTA5 01066,N
ZCTA5 01068,94425
ZCTA5 01069,78030
ZCTA5 01070,70784
ZCTA5 01071,78183
ZCTA5 01072,84523
ZCTA5 01073,112179
ZCTA5 01074,64004
ZCTA5 01075,82226
ZCTA5 01077,96061
ZCTA5 01079,57065
ZCTA5 01080,63397
ZCTA5 01081,65400
ZCTA5 01082,65600
ZCTA5 01083,68089
ZCTA5 01084,106546
ZCTA5 01085,77265
ZCTA5 01086,-
ZCTA5 01088,58218
ZCTA5 01089,68964
ZCTA5 01092,82155
ZCTA5 01093,135457
ZCTA5 01094,54306
ZCTA5 01095,123474
ZCTA5 01096,91384
ZCTA5 01097,27435
ZCTA5 01098,90580
ZCTA5 01103,35253
ZCTA5 01104,48786
ZCTA5 01105,33611
ZCTA5 01106,150366
ZCTA5 01107,42935
ZCTA5 01108,52337
ZCTA5 01109,45831
ZCTA5 01118,74068
ZCTA5 01119,58957
ZCTA5 01128,86874
ZCTA5 01129,72225
ZCTA5 01151,48996
ZCTA5 01199,-
ZCTA5 01201,66779
ZCTA5 01220,62272
ZCTA5 01222,88815
ZCTA5 01223,88653
ZCTA5 01224,37458
ZCTA5 01225,75573
ZCTA5 01226,78270
ZCTA5 01229,31869
ZCTA5 01230,89428
ZCTA5 01235,78696
ZCTA5 01236,92254
ZCTA5 01237,91177
ZCTA5 01238,82742
ZCTA5 01240,108281
ZCTA5 01242,80038
ZCTA5 01243,102865
ZCTA5 01244,72605
ZCTA5 01245,95950
ZCTA5 01247,56405
ZCTA5 01253,93233
ZCTA5 01254,139701
ZCTA5 01255,93702
ZCTA5 01256,68216
ZCTA5 01257,95290
ZCTA5 01258,85610
ZCTA5 01259,115657
ZCTA5 01260,97567
ZCTA5 01262,72370
ZCTA5 01264,135397
ZCTA5 01266,102325
ZCTA5 01267,101729
ZCTA5 01270,107515
ZCTA5 01301,65614
ZCTA5 01330,95297
ZCTA5 01331,66161
ZCTA5 01337,82371
ZCTA5 01338,59179
ZCTA5 01339,70366
ZCTA5 01340,66607
ZCTA5 01341,127548
ZCTA5 01342,112502
ZCTA5 01343,71740
ZCTA5 01344,71697
ZCTA5 01346,82512
ZCTA5 01347,44103
ZCTA5 01349,70211
ZCTA5 01350,49977
ZCTA5 01351,89834
ZCTA5 01354,79976
ZCTA5 01355,86263
