Geography,Total_Population
Massachusetts,6789319
ZCTA5 01001,17537
ZCTA5 01002,30280
ZCTA5 01003,11131
ZCTA5 01005,5014
ZCTA5 01007,14906
ZCTA5 01008,1272
ZCTA5 01009,384
ZCTA5 01010,3724
ZCTA5 01011,1507
ZCTA5 01012,531
ZCTA5 01013,23026
ZCTA5 01020,30148
ZCTA5 01022,2604
ZCTA5 01026,958
ZCTA5 01027,17870
ZCTA5 01028,16156
ZCTA5 01029,728
ZCTA5 01030,11211
ZCTA5 01031,1151
ZCTA5 01032,551
ZCTA5 01033,6300
ZCTA5 01034,2313
ZCTA5 01035,5301
ZCTA5 01036,5193
ZCTA5 01037,772
ZCTA5 01038,2897
ZCTA5 01039,1129
ZCTA5 01040,40362
ZCTA5 01050,2334
ZCTA5 01053,1658
ZCTA5 01054,1997
ZCTA5 01056,21331
ZCTA5 01057,8801
ZCTA5 01060,15729
ZCTA5 01062,10587
ZCTA5 01063,574
ZCTA5 01066,9
ZCTA5 01068,1849
ZCTA5 01069,8919
ZCTA5 01070,637
ZCTA5 01071,1206
ZCTA5 01072,1490
ZCTA5 01073,6090
ZCTA5 01074,477
ZCTA5 01075,17755
ZCTA5 01077,9711
ZCTA5 01079,480
ZCTA5 01080,2532
ZCTA5 01081,1827
ZCTA5 01082,10637
ZCTA5 01083,3182
ZCTA5 01084,183
ZCTA5 01085,41652
ZCTA5 01086,683
ZCTA5 01088,399
ZCTA5 01089,28671
ZCTA5 01092,1133
ZCTA5 01093,348
ZCTA5 01094,327
ZCTA5 01095,14659
ZCTA5 01096,2607
ZCTA5 01097,54
ZCTA5 01098,1186
ZCTA5 01103,2409
ZCTA5 01104,23635
ZCTA5 01105,11601
ZCTA5 01106,16048
ZCTA5 01107,11304
ZCTA5 01108,28925
ZCTA5 01109,30125
ZCTA5 01118,14774
ZCTA5 01119,13236
ZCTA5 01128,2798
ZCTA5 01129,6750
ZCTA5 01151,8884
ZCTA5 01199,0
ZCTA5 01201,44775
ZCTA5 01220,8211
